,id,name,symbol,slug,num_market_pairs,date_added,tags,max_supply,circulating_supply,total_supply,infinite_supply,platform,cmc_rank,self_reported_circulating_supply,self_reported_market_cap,tvl_ratio,last_updated,quote.USD.price,quote.USD.volume_24h,quote.USD.volume_change_24h,quote.USD.percent_change_1h,quote.USD.percent_change_24h,quote.USD.percent_change_7d,quote.USD.percent_change_30d,quote.USD.percent_change_60d,quote.USD.percent_change_90d,quote.USD.market_cap,quote.USD.market_cap_dominance,quote.USD.fully_diluted_market_cap,quote.USD.tvl,quote.USD.last_updated,platform.id,platform.name,platform.symbol,platform.slug,platform.token_address,timestamp
0,1,Bitcoin,BTC,bitcoin,10824,2010-07-13T00:00:00.000Z,"['mineable', 'pow', 'sha-256', 'store-of-value', 'state-channel', 'coinbase-ventures-portfolio', 'three-arrows-capital-portfolio', 'polychain-capital-portfolio', 'binance-labs-portfolio', 'blockchain-capital-portfolio', 'boostvc-portfolio', 'cms-holdings-portfolio', 'dcg-portfolio', 'dragonfly-capital-portfolio', 'electric-capital-portfolio', 'fabric-ventures-portfolio', 'framework-ventures-portfolio', 'galaxy-digital-portfolio', 'huobi-capital-portfolio', 'alameda-research-portfolio', 'a16z-portfolio', '1confirmation-portfolio', 'winklevoss-capital-portfolio', 'usv-portfolio', 'placeholder-ventures-portfolio', 'pantera-capital-portfolio', 'multicoin-capital-portfolio', 'paradigm-portfolio', 'bitcoin-ecosystem', 'ftx-bankruptcy-estate']",21000000.0,19633950.0,19633950.0,False,,1,,,,2024-02-21T19:21:00.000Z,50954.984878812626,28298294257.04669,-10.0263,-0.26572985,-1.0593239,-0.62400635,27.4714211,16.4199857,36.67634181,1000447625361.3632,51.7505,1070054682455.07,,2024-02-21T19:21:00.000Z,,,,,,2024-02-21 13:22:14.667865
1,1027,Ethereum,ETH,ethereum,8438,2015-08-07T00:00:00.000Z,"['pos', 'smart-contracts', 'ethereum-ecosystem', 'coinbase-ventures-portfolio', 'three-arrows-capital-portfolio', 'polychain-capital-portfolio', 'binance-labs-portfolio', 'blockchain-capital-portfolio', 'boostvc-portfolio', 'cms-holdings-portfolio', 'dcg-portfolio', 'dragonfly-capital-portfolio', 'electric-capital-portfolio', 'fabric-ventures-portfolio', 'framework-ventures-portfolio', 'hashkey-capital-portfolio', 'kenetic-capital-portfolio', 'huobi-capital-portfolio', 'alameda-research-portfolio', 'a16z-portfolio', '1confirmation-portfolio', 'winklevoss-capital-portfolio', 'usv-portfolio', 'placeholder-ventures-portfolio', 'pantera-capital-portfolio', 'multicoin-capital-portfolio', 'paradigm-portfolio', 'injective-ecosystem', 'layer-1', 'ftx-bankruptcy-estate']",,120162904.73201104,120162904.73201104,True,,2,,,,2024-02-21T19:21:00.000Z,2909.475604183578,19450667344.11838,0.2342,0.15542934,-1.01253248,5.99264654,23.86587685,26.60192478,41.04775249,349611039845.6215,18.0844,349611039845.62,,2024-02-21T19:21:00.000Z,,,,,,2024-02-21 13:22:14.667865
2,825,Tether USDt,USDT,tether,75085,2015-02-25T00:00:00.000Z,"['payments', 'stablecoin', 'asset-backed-stablecoin', 'avalanche-ecosystem', 'solana-ecosystem', 'arbitrum-ecosytem', 'moonriver-ecosystem', 'injective-ecosystem', 'bnb-chain', 'usd-stablecoin', 'optimism-ecosystem']",,97818291517.11946,100600078701.91635,True,,3,,,,2024-02-21T19:20:00.000Z,0.9997970985512964,59457844886.88078,-7.4743,-0.00760032,-0.01171309,-0.07523557,0.08974482,-0.06475291,-0.04143123,97798444044.06093,5.0588,100579666800.21,,2024-02-21T19:20:00.000Z,1027.0,Ethereum,ETH,ethereum,0xdac17f958d2ee523a2206206994597c13d831ec7,2024-02-21 13:22:14.667865
3,1839,BNB,BNB,bnb,2070,2017-07-25T00:00:00.000Z,"['marketplace', 'centralized-exchange', 'payments', 'smart-contracts', 'alameda-research-portfolio', 'multicoin-capital-portfolio', 'bnb-chain', 'layer-1', 'sec-security-token', 'alleged-sec-securities', 'celsius-bankruptcy-estate']",,149543795.9054861,149543795.9054861,False,,4,,,,2024-02-21T19:20:00.000Z,369.18644334273847,2105799834.6556313,44.6927,0.4824207,5.48735573,11.11900449,19.6277587,36.56475701,58.13106385,55209542134.318794,2.8558,55209542134.32,,2024-02-21T19:20:00.000Z,,,,,,2024-02-21 13:22:14.667865
4,5426,Solana,SOL,solana,626,2020-04-10T00:00:00.000Z,"['pos', 'platform', 'solana-ecosystem', 'cms-holdings-portfolio', 'kenetic-capital-portfolio', 'alameda-research-portfolio', 'multicoin-capital-portfolio', 'okex-blockdream-ventures-portfolio', 'layer-1', 'ftx-bankruptcy-estate', 'sec-security-token', 'alleged-sec-securities']",,440838956.4038872,570040437.8957695,True,,5,,,,2024-02-21T19:21:00.000Z,101.98062100352193,2148713829.318799,-14.404,0.26190027,-4.05763599,-11.67908935,21.33177962,0.45639059,80.64520942,44957030536.61295,2.3255,58133077853.73,,2024-02-21T19:21:00.000Z,,,,,,2024-02-21 13:22:14.667865
5,52,XRP,XRP,xrp,1229,2013-08-04T00:00:00.000Z,"['medium-of-exchange', 'enterprise-solutions', 'arrington-xrp-capital-portfolio', 'galaxy-digital-portfolio', 'a16z-portfolio', 'pantera-capital-portfolio', 'ftx-bankruptcy-estate']",100000000000.0,54558598490.0,99987895338.0,False,,6,,,,2024-02-21T19:21:00.000Z,0.5416310426641852,1369359815.118676,-22.4849,0.35367033,-2.34337635,0.56154763,2.38229373,-12.5420557,-12.51977633,29550630586.435337,1.5286,54163104266.42,,2024-02-21T19:21:00.000Z,,,,,,2024-02-21 13:22:14.667865
6,3408,USDC,USDC,usd-coin,16791,2018-10-08T00:00:00.000Z,"['medium-of-exchange', 'stablecoin', 'asset-backed-stablecoin', 'coinbase-ventures-portfolio', 'hedera-hashgraph-ecosystem', 'fantom-ecosystem', 'arbitrum-ecosytem', 'moonriver-ecosystem', 'bnb-chain', 'usd-stablecoin', 'optimism-ecosystem']",,28004361370.95979,28004361370.95979,False,,7,,,,2024-02-21T19:21:00.000Z,1.000000080502378,6365233874.416027,-11.7666,-0.00320911,0.02267183,0.00891375,-0.02497816,-0.00890772,0.00320984,28004363625.377476,1.4486,28004363625.38,,2024-02-21T19:21:00.000Z,1027.0,Ethereum,ETH,ethereum,0xa0b86991c6218b36c1d19d4a2e9eb0ce3606eb48,2024-02-21 13:22:14.667865
7,2010,Cardano,ADA,cardano,1074,2017-10-01T00:00:00.000Z,"['dpos', 'pos', 'platform', 'research', 'smart-contracts', 'staking', 'cardano-ecosystem', 'cardano', 'layer-1', 'sec-security-token', 'alleged-sec-securities']",45000000000.0,35460745456.678,36642477256.53,False,,8,,,,2024-02-21T19:20:00.000Z,0.5815652647650175,590106414.8659343,-25.5748,0.01903357,-3.42525197,1.66921282,19.74211068,-3.79607718,52.59322108,20622737820.277832,1.0668,26170436914.43,,2024-02-21T19:20:00.000Z,,,,,,2024-02-21 13:22:14.667865
8,5805,Avalanche,AVAX,avalanche,664,2020-07-13T00:00:00.000Z,"['defi', 'smart-contracts', 'three-arrows-capital-portfolio', 'polychain-capital-portfolio', 'avalanche-ecosystem', 'cms-holdings-portfolio', 'dragonfly-capital-portfolio', 'moonriver-ecosystem', 'injective-ecosystem', 'real-world-assets', 'layer-1']",720000000.0,367750288.52110374,435783198.52110374,False,,9,,,,2024-02-21T19:20:00.000Z,36.80356309127346,512695038.088051,-22.2683,1.19900837,-2.42906761,-11.23945424,22.68930505,-18.52237321,78.74999553,13534520945.42046,0.7001,26498565425.72,,2024-02-21T19:20:00.000Z,,,,,,2024-02-21 13:22:14.667865
9,1958,TRON,TRX,tron,931,2017-09-13T00:00:00.000Z,"['media', 'payments', 'tron-ecosystem', 'layer-1', 'dwf-labs-portfolio', 'sec-security-token', 'alleged-sec-securities']",,88028416196.1351,88028435284.08548,True,,10,71659659264.0,9980495702.01279,,2024-02-21T19:20:00.000Z,0.13927634884843415,452578727.26193374,23.1453,0.06715595,0.85978544,7.90021186,27.83456906,30.73409344,36.98005312,12260276402.708063,0.6342,12260279061.21,,2024-02-21T19:20:00.000Z,,,,,,2024-02-21 13:22:14.667865
